Action,Description
is.workflow.actions.openapp,Open App
is.workflow.actions.sendmessage,Send Message
is.workflow.actions.dictionary,Dictionary
is.workflow.actions.gettext,Text
is.workflow.actions.choosefromlist,Choose from List
is.workflow.actions.conditional,If
is.workflow.actions.setvariable,Set Variable
is.workflow.actions.playmusic,Play Music
is.workflow.actions.showresult,Show Result
is.workflow.actions.alert,Show Alert
is.workflow.actions.getlastphoto,Get Last Photos
is.workflow.actions.image.resize,Resize Image
is.workflow.actions.image.convert,Convert Image
is.workflow.actions.base64encode,Base64 Encode
is.workflow.actions.detect.text,Get Text From Input
is.workflow.actions.text.split,Split Text
is.workflow.actions.repeat.each,Repeat with Each
com.apple.mobiletimer-framework.MobileTimerIntents.MTCreateAlarmIntent,Add Alarm
com.apple.mobiletimer.DeleteAlarmIntent,Delete Alarm
is.workflow.actions.ask,Ask for Input
is.workflow.actions.count,Count
is.workflow.actions.choosefrommenu,Choose from Menu
is.workflow.actions.repeat.count,Repeat
is.workflow.actions.delay,Wait
is.workflow.actions.getvariable,Get Variable
is.workflow.actions.appendvariable,Add to Variable
is.workflow.actions.list,List
is.workflow.actions.getitemfromlist,Get Item from List
is.workflow.actions.getvalueforkey,Get Dictionary Value
is.workflow.actions.setvalueforkey,Set Dictionary Value
is.workflow.actions.detect.dictionary,Get Dictionary from Input
is.workflow.actions.number,Number
is.workflow.actions.number.random,Random Number between
is.workflow.actions.round,Round Number
is.workflow.actions.statistics,Calculate Statistics
is.workflow.actions.measurement.create,Measurement
is.workflow.actions.measurement.convert,Convert Measurement
is.workflow.actions.date,Date
is.workflow.actions.format.date,Format Date
is.workflow.actions.adjustdate,Adjust Date
is.workflow.actions.gettimebetweendates,Get Time Between Dates
is.workflow.actions.detect.date,Get Date from Input
is.workflow.actions.converttimezone,Convert Time Zone
is.workflow.actions.getnameofemoji,Get Name of Emoji
is.workflow.actions.showdefinition,Show Definition
is.workflow.actions.text.changecase,Change Case
is.workflow.actions.text.combine,Combine Text
is.workflow.actions.text.replace,Replace Text
is.workflow.actions.text.match,Match Text
is.workflow.actions.correctspelling,Correct Spelling
is.workflow.actions.text.match.getgroup,Get Group from Matched Text
is.workflow.actions.dictatetext,Dictate Text
com.apple.ShortcutsActions.TranscribeAudioAction,Transcribe Audio
is.workflow.actions.speaktext,Speak Text
is.workflow.actions.makespokenaudiofromtext,Make Spoken Audio from Text
is.workflow.actions.detectlanguage,Detect Language
is.workflow.actions.text.translate,Translate Text
is.workflow.actions.getitemname,Get Name
is.workflow.actions.setitemname,Set Name
is.workflow.actions.getitemtype,Get Type
is.workflow.actions.getmyworkflows,Get My Shortcuts
is.workflow.actions.viewresult,View Content Graph
is.workflow.actions.previewdocument,Quick Look
is.workflow.actions.runworkflow,Run Shortcut
is.workflow.actions.getonscreencontent,Get What's On Screen
is.workflow.actions.hash,Generate Hash
is.workflow.actions.urlencode,URL Encode
is.workflow.actions.exit,Stop Shortcut
is.workflow.actions.openxcallbackurl,Open X-Callback URL
is.workflow.actions.runsshscript,Run Script over SSH
is.workflow.actions.waittoreturn,Wait to Return
is.workflow.actions.output,Stop and Output
is.workflow.actions.format.filesize,Format File Size
is.workflow.actions.flashlight,Set Flashlight
is.workflow.actions.dnd.set,Set Focus
is.workflow.actions.dnd.getfocus,Get Current Focus
is.workflow.actions.nothing,Nothing
is.workflow.actions.bluetooth.set,Set Bluetooth
is.workflow.actions.wifi.set,Set Wi-Fi
is.workflow.actions.airplanemode.set,Set Airplane Mode
is.workflow.actions.reboot,Shutdown
is.workflow.actions.lowpowermode.set,Set Low Power Mode
is.workflow.actions.appearance,Set Appearance
is.workflow.actions.setairdropreceiving,Set AirDrop Receiving
is.workflow.actions.vpn.set,Set VPN
is.workflow.actions.personalhotspot.set,Set Personal Hotspot
is.workflow.actions.cellulardata.set,Set Cellular Data
is.workflow.actions.lockscreen,Lock Screen
is.workflow.actions.nightshift.set,Set Night Shift
is.workflow.actions.truetone.set,Set True Tone
is.workflow.actions.setbrightness,Set Brightness
is.workflow.actions.orientationlock.set,Set Orientation Lock
is.workflow.actions.returntohomescreen,Go to Home Screen
is.workflow.actions.takephoto,Take Photo
is.workflow.actions.takevideo,Take Video
is.workflow.actions.recordaudio,Record Audio
is.workflow.actions.takescreenshot,Take Screenshot
is.workflow.actions.getdevicedetails,Get Device Details
is.workflow.actions.getbatterylevel,Get Battery Status
com.apple.ShortcutsActions.GetOrientationAction,Get Orientation
com.apple.ShortcutsActions.GetPhysicalActivity,Get Physical Activity
is.workflow.actions.setclipboard,Copy to Clipboard
is.workflow.actions.playsound,Play Sound
is.workflow.actions.notification,Show Notification
is.workflow.actions.getclipboard,Get Clipboard
is.workflow.actions.vibrate,Vibrate Device
is.workflow.actions.getipaddress,Get Current IP Address
is.workflow.actions.getwifi,Get Network Details
is.workflow.actions.personalhotspot.password.get,Get Hotspot Password
com.apple.ShortcutsActions.ResetCellularDataStatisticsAction,Reset Cellular Data Statistics
is.workflow.actions.wallpaper.set,Set Wallpaper Photo
is.workflow.actions.posters.get,Get All Wallpapers
is.workflow.actions.getcurrentlocation,Get Current Location
is.workflow.actions.searchlocalbusinesses,Find Places
is.workflow.actions.posters.switch,Switch Between Wallpapers
is.workflow.actions.getdirections,Open Directions
is.workflow.actions.searchmaps,Open in Maps
is.workflow.actions.filter.locations,Filter Locations
is.workflow.actions.ride.requestride,Request Ride
is.workflow.actions.properties.locations,Get Details of Location
is.workflow.actions.location,Location
is.workflow.actions.getmapslink,Get Maps URL
is.workflow.actions.address,Street Address
is.workflow.actions.detect.address,Get Address from Input
is.workflow.actions.getdistance,Get Distance
is.workflow.actions.gethalfwaypoint,Get Halfway Point
is.workflow.actions.gettraveltime,Get Travel Time
is.workflow.actions.getparkedcarlocation,Get Parked Car Location
is.workflow.actions.properties.parkedcar,Get Details of Parked Car
is.workflow.actions.setparkedcar,Set Parked Car
is.workflow.actions.share,Share
is.workflow.actions.runextension,Share with Apps
is.workflow.actions.sendemail,Send Email
is.workflow.actions.airdropdocument,AirDrop
com.apple.mobileslideshow.StreamShareService,Post to Shared Album
is.workflow.actions.generatebarcode,Generate QR Code
is.workflow.actions.scanbarcode,Scan QR or Barcode
is.workflow.actions.print,Print
is.workflow.actions.avairyeditphoto,Markup
is.workflow.actions.makepdf,Make PDF
is.workflow.actions.compresspdf,Optimize File Size of PDF
is.workflow.actions.splitpdf,Split PDF into Pages
is.workflow.actions.gettextfrompdf,Get Text from PDF
is.workflow.actions.file,File
