Action Name,Prompt Description,Action Function,Attack Operations
is.workflow.actions.addnewcontact,Add New Contact,action_add_new_contact,Data Insertion
com.apple.mobilenotes.AddTagsToNotesLinkAction,Add Tags to Notes,action_add_tag_notes,Data Insertion
com.apple.mobilenotes.PinNotesLinkAction,Pin Notes,action_add_to_pinnote,Data Insertion
is.workflow.actions.addframetogif,Add Frame to GIF,action_addframetogif,Data Insertion
is.workflow.actions.addmusictoupnext,Add to Playing Next,action_addmusictoupnext,"Data Insertion, Resource Control"
is.workflow.actions.addnewcalendar,Add New Calendar,action_addnewcalendar,Data Insertion
is.workflow.actions.addnewevent,Add New Event,action_addnewevent,Data Insertion
is.workflow.actions.addnewreminder,Add New Reminder,action_addnewreminder,Data Insertion
is.workflow.actions.address,Street Address,action_address,Data Insertion
is.workflow.actions.addtoplaylist,Add to Playlist,action_addtoplaylist,"Data Insertion, Resource Control"
is.workflow.actions.adjustdate,Adjust Date,action_adjustdate,None
is.workflow.actions.airdropdocument,AirDrop,action_airdropdocument,None
is.workflow.actions.airplanemode.set,Set Airplane Mode,action_airplanemode_set,Resource Control
is.workflow.actions.alert,Show Alert,action_alert,None
is.workflow.actions.appearance,Set Appearance,action_appearance,Resource Control
is.workflow.actions.appendnote,Append to Note,action_appendnote,None
is.workflow.actions.appendvariable,Add to Variable,action_appendvariable,Data Insertion
is.workflow.actions.ask,Ask for Input,action_ask,None
is.workflow.actions.avairyeditphoto,Markup,action_avairyeditphoto,None
is.workflow.actions.base64encode,Base64 Encode,action_base64encode,None
is.workflow.actions.bluetooth.set,Set Bluetooth,action_bluetooth_set,Resource Control
is.workflow.actions.calculateexpression,Calculate Expression,action_calculateexpression,None
com.apple.mobilephone.call,Call,action_call,None
com.apple.mobiletimer.CancelTimerIntent,Cancel Timer,action_cancel_timer,None
is.workflow.actions.cellulardata.set,Set Cellular Data,action_cellulardata_set,Resource Control
com.apple.mobilemail.MailFocusConfigurationAction,Set Mail Focus Filter,action_change_focus_mail,Resource Control
com.apple.VoiceMemos.ChangeRecordingPlaybackSetting,Change Recording Playback Setting,action_change_setting_recording,Resource Control
is.workflow.actions.choosefromlist,Choose from List,action_choosefromlist,None
is.workflow.actions.choosefrommenu,Choose from Menu,action_choosefrommenu,None
is.workflow.actions.clearupnext,Clear Playing Next,action_clearupnext,"Resource Control, Trace Hiding"
is.workflow.actions.comment,Comment,action_comment,None
is.workflow.actions.compresspdf,Optimize File Size of PDF,action_compresspdf,None
is.workflow.actions.conditional,If,action_conditional,None
is.workflow.actions.contacts,Contacts,action_contacts,None
is.workflow.actions.converttimezone,Convert Time Zone,action_converttimezone,None
is.workflow.actions.correctspelling,Correct Spelling,action_correctspelling,None
is.workflow.actions.count,Count,action_count,None
com.apple.mobiletimer-framework.MobileTimerIntents.MTCreateAlarmIntent,Add Alarm,action_create_alarm,Data Insertion
is.workflow.actions.alarm.create,Create Alarm,action_create_alarm,Data Insertion
com.apple.mobilenotes.CreateFolderLinkAction,Create Folder,action_create_note_folder,Data Insertion
com.apple.VoiceMemos.RecordVoiceMemoIntent,Create Recoding,action_create_recording,Data Insertion
is.workflow.actions.sirikit.donation.handle,Create Recording,action_create_recording,Data Insertion
com.apple.reminders.TTRCreateListAppIntent,Create Reminder List,action_create_remainderlist,Data Insertion
com.apple.shortcuts.CreateWorkflowAction,Create Shortcut,action_create_shortcut,Data Insertion
com.apple.mobilenotes.CreateTagLinkAction,Create Tag,action_create_tag_notes,Data Insertion
com.apple.mobilenotes.SharingExtension,Create Note,action_createnote,Data Insertion
is.workflow.actions.createplaylist,Create Playlist,action_createplaylist,"Data Insertion, Resource Control"
is.workflow.actions.date,Date,action_date,None
is.workflow.actions.delay,Wait,action_delay,None
com.apple.mobiletimer.DeleteAlarmIntent,Delete Alarm,action_delete_alarm,Trace Hiding
com.apple.mobilenotes.DeleteFoldersLinkAction,Delete Folders,action_delete_note_folder,Trace Hiding
com.apple.VoiceMemos.DeleteRecording,Delete Recording,action_delete_recording,Trace Hiding
com.apple.mobilenotes.DeleteTagsLinkAction,Delete Tags,action_delete_tag_notes,Trace Hiding
com.apple.mobilenotes.DeleteNotesLinkAction,Delete Notes,action_deletenote,Trace Hiding
is.workflow.actions.deletephotos,Delete Photos,action_deletephoto,Trace Hiding
com.apple.shortcuts.DeleteWorkflowAction,Delete Shortcut,action_deleteworkflow,Trace Hiding
is.workflow.actions.detect.address,Get Address from Input,action_detect_address,"Data Collection, Data Insertion"
is.workflow.actions.detect.contacts,Get Contacts from Input,action_detect_contacts,Data Collection
is.workflow.actions.detect.date,Get Date from Input,action_detect_date,Data Collection
is.workflow.actions.detect.dictionary,Get Dictionary from Input,action_detect_dictionary,Data Collection
is.workflow.actions.detect.emailaddress,Get Email Address from Input,action_detect_emailaddress,"Data Collection, Data Insertion"
is.workflow.actions.detect.images,Get Images from Input,action_detect_images,Data Collection
is.workflow.actions.detect.link,Get URLs from Input,action_detect_link,Data Collection
is.workflow.actions.detect.number,Get Number from Input,action_detect_number,Data Collection
is.workflow.actions.detect.phonenumber,Get Phone Number from Input,action_detect_phonenumber,Data Collection
is.workflow.actions.detect.text,Get Text From Input,action_detect_text,Data Collection
is.workflow.actions.detectlanguage,Detect Language,action_detectlanguage,None
is.workflow.actions.dictatetext,Dictate Text,action_dictatetext,None
is.workflow.actions.dictionary,Dictionary,action_dictionary,None
is.workflow.actions.dismisssiri,Dismiss Siri and Continue,action_dismisssiri,None
is.workflow.actions.dnd.getfocus,Get Current Focus,action_dnd_getfocus,Data Collection
is.workflow.actions.dnd.set,Set Focus,action_dnd_set,Resource Control
is.workflow.actions.documentpicker.open,Get File from Folder,action_documentpicker_open,Data Collection
is.workflow.actions.documentpicker.save,Save File,action_documentpicker_save,Data Insertion
is.workflow.actions.downloadurl,Get Contents of URL,action_downloadurl,Data Collection
com.apple.mobiletimer.EditSleepAlarmIntent,Edit Sleep Alarm,action_edit_alarm,None
is.workflow.actions.email,Email Address,action_email,Data Insertion
is.workflow.actions.encodemedia,Encode Media,action_encodemedia,None
is.workflow.actions.exit,Stop Shortcut,action_exit,Resource Control
is.workflow.actions.exportsong,Select Music,action_exportsong,Data Exfiltration
is.workflow.actions.extracttextfromimage,Extract Text from Image,action_extracttextfromimage,Data Collection
com.apple.facetime.facetime,FaceTime,action_facetime,None
is.workflow.actions.file,File,action_file,None
is.workflow.actions.folder,Folder,action_file,None
